stuid,schoolid,days_absent,miles_to_school,pre_test_read,pre_test_math,treatment,atrisk,grade,female
252,D,2,2.5117114,739,715,1,1,11,1
253,D,4,4.4107833,729,745,1,1,10,0
254,D,3,2.575335,744,698,1,1,11,1
255,D,3,.49894348,716,706,1,0,12,1
256,D,4,4.5731926,728,715,1,0,9,0
257,D,1,5.6745687,725,773,1,0,9,1
258,D,1,1.5314901,742,748,1,1,10,1
259,D,3,3.9181826,741,737,1,1,10,0
260,D,0,.1506359,693,776,1,0,10,0
261,D,0,2.184514,746,780,1,0,11,0
262,D,6,4.8287449,750,750,1,1,12,0
263,D,1,2.5772879,758,796,1,0,10,1
264,D,6,2.1504984,717,767,1,1,9,0
265,D,5,4.3361239,788,696,1,0,11,0
266,D,6,1.9900318,766,702,1,1,12,0
267,D,0,5.6278629,702,694,1,0,9,1
268,D,1,.40785027,730,789,1,0,10,1
269,D,2,1.384921,726,746,1,1,9,0
270,D,7,5.1197743,827,751,1,1,9,0
271,D,2,1.2748981,763,734,1,1,9,1
272,D,10,2.4654367,745,792,1,0,11,0
273,D,3,3.7262907,755,734,1,1,9,1
274,D,2,1.1754869,735,698,1,0,9,0
275,D,6,3.3656371,735,739,1,1,9,0
276,D,0,4.3086023,769,726,1,0,10,0
277,D,4,3.5429087,694,759,1,1,10,1
278,D,2,4.0696225,717,740,1,1,10,0
279,D,4,3.7627063,705,724,1,1,11,0
280,D,2,2.5606251,779,741,1,0,10,0
281,D,0,2.915494,759,737,1,0,11,1
282,D,8,1.9456308,744,736,1,0,11,0
283,D,5,3.3117297,725,747,1,0,12,0
284,D,3,4.7438588,730,757,1,1,9,1
285,D,0,2.2836761,790,800,1,0,9,0
286,D,0,3.2991557,687,820,1,0,10,0
287,D,5,1.1386218,766,791,1,1,10,1
288,D,2,.84342015,732,794,1,1,11,1
289,D,6,3.7174292,744,759,1,1,12,0
290,D,4,3.3667378,682,753,1,0,12,0
291,D,3,3.9779952,757,778,1,0,12,0
292,D,0,4.7850952,758,741,1,0,11,0
293,D,0,5.2088156,748,788,1,0,10,0
294,D,3,2.3973269,774,780,1,0,12,0
295,D,6,1.3345517,764,773,1,0,12,0
296,D,3,2.3112159,745,757,1,1,10,1
297,D,5,4.8633003,758,710,1,1,11,1
298,D,3,2.5697215,743,804,1,1,10,0
299,D,2,2.7978251,760,715,1,0,9,0
300,D,0,2.1800079,741,679,1,0,11,1
301,D,7,1.659639,757,757,1,1,12,1
302,D,0,3.8807371,746,752,1,0,10,0
303,D,4,2.6558442,776,703,1,1,10,0
304,D,6,1.382627,822,763,1,1,10,0
305,D,10,3.672543,796,775,1,1,10,0
306,D,0,3.0509417,822,700,1,0,10,1
307,D,2,4.5404778,778,751,1,1,9,1
308,D,0,4.6728158,773,789,1,0,9,0
309,D,2,2.8136613,734,748,1,0,11,1
310,D,5,2.5774472,766,729,1,1,10,0
311,D,3,2.5045907,680,723,1,1,9,1
312,D,0,3.5793505,742,801,1,0,10,1
313,D,0,2.3880348,741,777,1,0,10,0
314,D,0,6.3764505,782,731,1,0,9,0
315,D,3,1.6847409,767,771,1,0,9,0
316,D,4,1.0001961,748,758,1,1,11,1
317,D,3,2.6552229,757,793,1,1,9,1
318,D,5,4.7675371,712,772,1,0,12,0
319,D,1,1.0906966,809,735,1,1,10,1
320,D,0,2.1945233,731,726,1,0,9,1
321,D,2,2.0991156,754,772,1,1,11,0
322,D,2,2.1478598,786,686,1,1,10,1
323,D,4,2.8367341,704,739,1,1,9,0
324,D,2,4.6628528,787,723,1,1,9,1
325,D,5,3.207123,726,716,1,0,9,1
326,D,0,2.6788628,762,810,1,0,9,0
327,D,0,4.397038,747,729,1,0,9,1
328,D,1,4.1842704,758,715,1,0,11,1
329,D,1,3.4955528,826,772,1,1,9,0
330,D,0,2.3015532,732,758,1,0,9,0
331,D,0,3.8904262,731,720,1,0,9,0
332,D,1,3.2208593,784,714,1,0,10,1
333,D,12,3.4958642,723,801,1,1,12,1
334,D,1,1.0279949,708,739,1,0,9,0
335,D,6,1.1498748,813,710,1,1,12,1
336,D,0,2.5296106,749,784,1,0,9,1
337,D,12,4.0094275,705,715,1,1,12,0
338,D,2,3.5148916,797,765,1,1,9,0
339,D,4,4.2665591,741,786,1,0,11,1
340,D,0,.63570458,733,752,1,0,10,1
341,D,2,2.6018631,725,768,1,1,10,1
342,D,2,2.5359149,746,792,1,1,10,1
343,D,0,3.395582,738,747,1,0,10,1
344,D,2,3.5119905,729,713,1,0,11,0
345,D,3,4.8845377,726,742,1,0,10,0
346,D,0,2.7223372,760,696,1,0,9,1
347,D,5,1.2482972,803,734,1,0,10,0
348,D,4,4.3472257,830,712,1,0,12,0
349,D,2,3.5915747,757,732,1,1,9,1
350,D,4,4.4779754,779,768,1,0,12,1
351,D,1,3.7822311,764,759,1,1,10,0
352,D,0,3.1613622,684,714,1,0,10,1
353,D,0,3.3370624,764,763,1,0,11,0
354,D,0,2.2499022,758,719,1,0,10,0
355,D,0,3.2018173,773,778,1,0,9,0
356,D,0,.65508872,731,724,1,0,10,0
357,D,2,3.6456428,778,745,1,0,10,1
358,D,8,2.3341551,709,725,1,0,11,1
359,D,1,5.4770842,780,757,1,0,10,1
360,D,3,3.378798,708,755,1,0,12,0
361,D,7,2.7989619,735,760,1,1,10,0
362,D,6,2.3996263,776,758,1,0,12,0
363,D,1,2.2123983,792,775,1,0,11,1
364,D,0,5.2105198,735,681,1,0,9,1
365,D,0,4.1772299,776,794,1,0,10,0
366,D,0,.088427529,818,755,1,0,9,1
367,D,1,4.3243856,762,736,1,0,11,0
368,D,2,3.8074448,687,743,1,0,10,0
369,D,0,2.7557325,746,748,1,0,10,1
370,D,2,1.0625151,724,793,1,0,12,0
371,D,2,3.2123041,759,758,1,1,9,0
372,D,2,1.4763373,771,755,1,0,11,0
373,D,8,4.800633,757,730,1,1,9,1
374,D,0,3.0276563,747,829,1,0,10,0
375,D,5,.20860051,739,738,1,1,12,0
376,D,0,2.009577,792,745,1,0,9,0
377,D,0,3.7766292,742,715,1,0,10,0
378,D,0,1.8799831,744,748,1,0,10,0
379,D,3,3.9511871,774,763,1,0,9,0
380,D,2,5.8404398,791,763,1,0,10,0
381,D,2,5.3403568,850,732,1,1,9,1
382,D,0,3.8345764,693,772,1,0,10,0
383,D,5,3.5642078,750,759,1,0,10,1
384,D,0,2.7481499,768,742,1,0,10,0
385,D,2,1.9565117,787,702,1,1,10,0
386,D,1,1.6961496,713,791,1,0,9,1
387,D,2,1.70347,718,720,1,1,11,1
388,D,2,5.0398746,788,781,1,0,11,1
389,D,5,6.2838655,759,804,1,0,10,0
390,D,0,3.5687275,760,720,1,0,9,1
391,D,2,.51160377,747,783,1,1,10,1
392,D,1,3.3849406,803,713,1,1,10,1
393,D,6,3.3651531,740,751,1,1,10,0
394,D,8,1.9819928,767,811,1,1,9,0
395,D,3,1.7687163,777,745,1,1,11,1
396,D,4,1.467263,774,692,1,0,12,0
397,D,4,1.0086043,792,752,1,0,9,1
398,D,3,2.7245967,702,757,1,1,9,1
399,D,4,1.7736213,727,706,1,1,9,1
400,D,1,3.1074378,803,746,1,0,9,1
401,D,0,4.879684,706,769,1,0,9,1
402,D,0,5.2073736,730,734,1,0,9,1
403,D,0,3.6607723,699,745,1,0,11,1
404,D,8,5.0642185,707,722,1,0,12,0
405,D,6,5.0322733,753,698,1,0,10,0
406,D,0,3.0345905,699,741,1,0,10,1
407,D,2,2.6196647,707,734,1,1,10,1
408,D,1,2.1326885,787,750,1,1,9,1
409,D,6,1.5122684,725,733,1,1,10,0
410,D,3,4.8656054,793,737,1,1,11,1
411,D,2,4.1721749,744,772,1,0,12,0
412,D,0,3.5266178,758,820,1,0,11,1
413,D,4,2.1262043,738,767,1,1,10,0
414,D,0,3.6298251,752,807,1,0,10,1
415,D,3,3.9187801,729,773,1,0,12,1
416,D,1,1.5697266,782,763,1,1,10,1
417,D,5,4.5047269,793,797,1,0,12,1
418,D,2,.85219973,750,733,1,0,11,0
419,D,0,2.1912611,753,749,1,0,9,0
420,D,0,2.1651323,724,710,1,0,11,1
421,D,3,3.5050528,730,748,1,1,9,0
422,D,2,.084300995,773,773,1,0,12,1
423,D,0,3.9398606,790,744,1,0,9,1
424,D,1,2.4081602,769,811,1,0,9,1
425,D,0,4.1266713,752,705,1,0,10,0
426,D,4,2.7754366,724,778,1,0,12,0
427,D,2,2.4879229,760,710,1,0,9,0
428,D,2,2.4440639,780,768,1,1,10,1
429,D,3,3.4522688,764,725,1,1,9,0
430,D,1,.87991852,782,760,1,1,9,0
431,D,2,4.5045094,753,789,1,1,10,0
432,D,0,1.885604,782,755,1,0,9,1
433,D,2,5.2110519,763,777,1,1,9,0
434,D,0,1.192279,777,750,1,0,11,1
435,D,5,4.9864616,728,759,1,1,9,0
436,D,2,1.4830375,767,790,1,1,11,0
437,D,0,1.0961581,806,755,1,0,10,1
438,D,5,2.9110696,764,750,1,1,10,1
439,D,4,4.9040308,723,761,1,0,12,0
440,D,2,1.801021,770,796,1,0,10,1
441,D,2,3.3833914,764,747,1,1,10,0
442,D,6,4.978631,714,733,1,1,12,1
443,D,0,1.7530628,768,752,1,0,10,1
444,D,3,4.1431866,759,722,1,1,9,1
445,D,4,1.1672151,750,716,1,1,11,0
446,D,0,3.7321827,703,736,1,0,10,0
447,D,2,4.3543863,767,757,1,0,11,1
448,D,4,3.1599646,716,710,1,0,11,0
449,D,2,2.3327463,795,784,1,1,9,1
450,D,10,2.9334712,730,810,1,1,12,0
451,D,0,1.929617,751,762,1,0,10,1
452,D,0,4.0144968,796,794,1,0,10,0
453,D,5,4.1039319,760,759,1,1,9,1
454,D,0,4.0749645,729,777,1,0,11,1
455,D,3,2.3625989,781,752,1,1,10,1
456,D,0,2.7752669,766,772,1,0,10,1
457,D,0,3.1403084,743,759,1,0,10,1
458,D,0,4.329061,733,774,1,0,10,1
459,D,2,2.341361,746,753,1,1,9,1
460,D,4,3.9163859,730,748,1,0,12,1
461,D,4,1.8527901,695,734,1,1,11,1
462,D,6,1.6847906,811,788,1,1,10,0
463,D,0,1.3879793,745,759,1,0,10,1
464,D,4,1.3469852,704,702,1,1,11,0
465,D,0,1.4425153,744,762,1,0,10,1
466,D,0,.78799438,799,778,1,0,10,0
467,D,6,1.9698827,837,738,1,0,9,0
468,D,3,3.0367963,732,756,1,0,10,0
469,D,4,3.6427472,759,777,1,0,9,1
470,D,6,2.2101331,790,763,1,1,9,1
471,D,0,2.3346372,757,757,1,0,10,1
472,D,2,4.469347,814,711,1,1,11,1
473,D,1,.39869455,735,742,1,0,9,1
474,D,6,2.1926334,700,718,1,1,10,0
475,D,0,1.5497675,752,776,1,0,11,0
476,D,2,3.4015195,823,792,1,1,9,1
477,D,0,2.6916199,708,733,1,0,9,1
478,D,0,.80346119,790,757,1,0,11,0
479,D,3,1.4626782,840,767,1,1,11,0
480,D,1,4.03619,788,746,1,1,10,0
481,D,4,1.6191634,763,723,1,1,11,1
482,D,5,2.9897642,776,749,1,0,12,1
483,D,0,2.2230883,741,708,1,0,10,1
484,D,2,2.4946961,650,714,1,1,9,1
485,D,5,.14155515,762,739,1,0,9,0
486,D,3,1.8977091,755,709,1,0,12,1
487,D,0,.19045757,771,765,1,0,10,1
488,D,3,.61146516,741,758,1,1,9,1
489,D,8,2.7316113,706,753,1,1,12,0
490,D,0,2.4384046,748,781,1,0,11,1
491,D,0,.57653034,738,750,1,0,10,1
492,D,3,5.9362164,810,725,1,1,9,1
493,D,6,2.917628,742,750,1,1,11,1
494,D,3,4.8431468,800,759,1,0,12,0
495,D,0,1.7884079,759,761,1,0,9,0
496,D,0,1.9946377,713,754,1,0,9,1
497,D,7,2.6231103,761,781,1,0,12,1
498,D,6,3.0640924,747,765,1,1,12,1
499,D,4,2.8722353,738,733,1,1,10,0
500,D,3,6.0570288,767,809,1,1,9,0
501,D,3,2.7808282,712,782,1,0,10,0
502,D,1,1.5279074,731,663,1,0,9,0
503,D,0,3.623311,750,785,1,0,9,0
504,D,0,2.8537583,736,801,1,0,9,0
505,D,8,3.0705009,769,744,1,0,12,1
506,D,2,4.1255641,798,755,1,1,10,0
507,D,5,3.7258604,715,758,1,1,9,0
508,D,0,5.7729554,732,744,1,0,10,1
509,D,0,2.4874461,748,750,1,0,9,1
510,D,3,3.6981196,762,739,1,1,9,0
511,D,4,4.5846663,825,699,1,1,11,1
512,D,2,1.6550434,801,758,1,0,10,0
513,D,0,3.1380105,793,828,1,0,9,0
514,D,0,2.9104278,735,790,1,0,11,1
515,D,4,4.5011191,750,749,1,0,11,0
516,D,3,3.1817031,789,773,1,0,12,0
517,D,1,1.5542272,760,719,1,0,9,0
518,D,0,2.026298,779,753,1,0,10,1
519,D,0,3.8220029,760,778,1,0,10,1
520,D,1,3.9270346,760,781,1,0,10,0
521,D,0,2.7941089,801,733,1,0,10,0
522,D,1,2.4598551,758,745,1,0,10,0
523,D,4,1.7766736,757,774,1,1,9,1
524,D,4,4.3164558,726,756,1,1,11,0
525,D,2,5.1790171,774,734,1,1,9,0
526,D,3,2.6148078,774,770,1,1,9,0
527,D,3,4.5199704,678,790,1,0,9,0
528,D,2,6.9098897,746,786,1,1,10,0
529,D,2,3.8864129,792,807,1,1,10,0
530,D,0,1.7272775,748,817,1,0,9,0
531,D,5,4.9287148,741,747,1,0,12,1
532,D,3,.97555339,743,787,1,1,11,0
533,D,2,2.710598,702,717,1,1,10,1
534,D,1,2.8447673,713,768,1,1,10,1
535,D,0,3.8427315,753,752,1,0,11,0
536,D,0,3.7087958,706,717,1,0,11,1
537,D,2,2.5010016,746,713,1,0,9,0
538,D,0,1.9401,776,725,1,0,10,0
539,D,0,3.3230155,777,780,1,0,10,1
540,D,0,1.1382929,838,727,1,0,10,0
541,D,0,3.9408176,758,702,1,0,11,1
542,D,2,3.7641315,745,779,1,1,10,0
543,D,0,3.7803435,684,695,1,0,9,1
544,D,2,2.4468105,758,736,1,1,9,0
545,D,4,5.7816062,789,737,1,0,12,1
546,D,1,.69742078,808,758,1,0,9,1
547,D,2,4.0849633,758,744,1,0,11,0
548,D,3,3.7608497,771,732,1,1,10,1
549,D,3,5.6944585,672,749,1,1,11,0
550,D,7,4.7363772,777,715,1,0,9,0
551,D,0,2.8045516,770,756,1,0,9,0
552,D,6,5.3977346,758,725,1,1,11,1
553,D,2,3.98384,803,778,1,1,9,0
554,D,4,3.2108414,824,769,1,0,12,0
555,D,4,1.5646166,769,759,1,1,11,1
556,D,0,2.4820113,706,734,1,0,11,1
557,D,5,1.9362941,773,755,1,1,10,0
558,D,2,2.2456064,693,786,1,0,10,0
559,D,3,2.519511,703,770,1,0,12,1
560,D,6,6.8782506,772,759,1,1,9,0
561,D,1,2.3621855,738,746,1,0,11,0
562,D,10,7.6209955,739,729,1,1,12,0
563,D,0,3.0993135,743,697,1,0,10,1
564,D,3,3.51194,716,791,1,1,10,1
565,D,3,4.1726084,736,793,1,0,12,1
566,D,1,2.2920194,734,714,1,0,9,0
567,D,1,2.7740173,786,716,1,0,11,0
568,D,0,1.5676752,779,786,1,0,11,0
569,D,0,.99876559,725,732,1,0,11,0
570,D,0,2.6175978,717,739,1,0,9,1
571,D,1,3.1744401,766,774,1,0,9,1
572,D,1,3.131367,818,795,1,1,9,1
573,D,3,3.1782436,768,788,1,0,12,0
574,D,2,2.9774787,766,771,1,1,9,1
575,D,0,.31372198,779,722,1,0,9,0
576,D,1,.79118532,733,764,1,0,9,1
577,D,0,4.3317175,744,663,1,0,9,0
578,D,6,1.4746258,785,777,1,1,9,0
579,D,6,4.1954961,773,774,1,1,11,0
580,D,0,1.3112687,736,737,1,0,10,1
581,D,0,3.9654138,787,768,1,0,11,0
582,D,1,1.5489032,673,776,1,1,9,1
583,D,5,1.4216356,701,784,1,0,10,1
