stuid,schoolid,female,grade,atrisk,ell,iep,treatment,classroom,pre_test_math,pre_test_read,post_test_math
49,A,0,8,0,1,0,0,7,741,787,680
50,A,1,7,1,1,1,1,6,734,796,753
51,A,0,7,0,0,0,0,9,733,716,703
52,A,0,8,0,0,0,0,15,750,776,713
53,A,0,8,1,0,0,0,23,790,802,815
54,A,1,8,1,0,0,1,3,731,724,734
55,A,0,7,1,0,0,1,5,728,752,729
56,A,0,,0,0,0,0,8,742,821,714
57,A,1,7,1,0,0,1,3,770,755,735
58,A,0,7,1,0,0,0,25,751,766,699
59,A,1,8,0,1,0,0,28,796,746,774
60,A,1,,0,0,0,0,12,777,727,723
61,A,0,8,1,0,0,0,20,766,756,771
62,A,0,8,0,0,0,1,6,760,745,700
63,A,0,7,1,0,0,0,12,719,781,700
64,A,0,8,0,0,0,0,18,746,786,691
65,A,0,8,0,1,0,1,2,712,687,686
66,A,1,,1,0,0,0,15,730,776,741
67,A,1,,0,0,0,0,26,826,747,767
68,A,1,,1,0,0,0,21,759,753,722
69,A,0,8,0,0,0,0,25,771,767,734
70,A,0,7,0,0,0,0,8,693,748,665
71,A,0,7,1,0,0,0,29,788,755,784
72,A,1,7,1,0,1,0,18,761,814,720
73,A,1,,1,0,0,0,17,783,749,754
74,A,0,7,0,1,0,0,20,752,776,745
75,A,1,7,1,1,0,0,17,764,769,691
76,A,1,,1,0,0,0,16,794,768,771
77,A,0,7,0,0,0,1,5,736,739,770
78,A,1,7,1,0,0,1,2,752,753,711
79,A,1,8,1,1,0,0,13,790,788,746
80,A,0,8,0,0,0,0,29,768,847,778
81,A,0,,0,0,0,1,2,758,734,720
82,A,1,7,1,0,0,0,17,775,744,709
83,A,0,8,0,0,0,0,11,734,743,757
84,A,0,,0,0,0,1,1,751,782,760
85,A,0,8,0,1,1,0,19,736,791,703
86,A,0,8,1,1,0,0,19,722,788,748
87,A,0,,0,0,0,1,0,739,748,757
88,A,0,8,1,0,0,1,2,713,695,703
89,A,0,,0,1,0,0,25,842,748,755
90,A,1,,0,0,0,0,19,781,748,795
91,A,1,,1,0,1,1,0,763,766,752
92,A,1,,1,1,0,0,17,804,786,784
93,A,1,8,0,1,0,0,18,768,782,725
94,A,0,7,0,0,1,0,24,761,719,733
95,A,0,,1,0,0,0,22,826,749,800
96,A,0,7,0,0,1,0,20,755,738,718
97,A,0,7,1,0,0,0,26,756,730,747
98,A,0,7,1,0,1,0,19,715,742,715
99,A,0,8,1,0,0,0,9,795,754,757
100,A,1,,1,1,0,0,20,744,713,701
101,A,1,,0,0,1,0,27,721,739,729
102,A,1,7,0,0,1,1,1,745,776,747
103,A,0,,1,0,0,0,20,739,756,750
104,A,0,,0,0,1,1,5,800,726,770
105,A,1,7,1,0,1,0,21,762,712,720
106,A,0,8,1,0,0,0,15,788,783,723
107,A,0,7,0,1,0,0,25,744,755,725
108,A,0,,0,0,0,1,6,771,741,779
109,A,1,8,0,1,0,0,13,707,740,657
110,A,0,8,1,0,0,0,8,762,798,759
111,A,0,8,0,0,0,0,12,753,773,691
112,A,1,,0,0,0,0,7,703,728,715
113,A,0,8,1,1,0,0,12,753,733,755
114,A,1,7,1,0,0,0,26,725,710,688
115,A,1,8,0,0,0,0,22,773,739,724
116,A,0,,1,0,0,0,18,782,722,786
117,A,1,7,1,0,0,1,0,734,760,717
118,A,1,8,0,1,0,0,14,719,689,718
119,A,0,,0,1,0,0,7,763,732,726
120,A,1,8,0,1,0,0,21,742,840,734
121,A,0,7,1,1,0,0,17,758,812,771
122,A,0,8,1,0,0,0,12,652,735,650
123,A,1,8,1,0,0,1,6,751,748,697
124,A,1,,0,0,0,0,20,787,718,789
125,A,1,7,0,0,0,0,10,753,717,687
126,A,0,7,0,1,0,1,2,776,754,774
127,A,1,7,1,0,0,0,16,780,809,773
128,A,1,,0,0,1,0,11,777,738,762
129,A,0,8,0,0,0,0,23,678,756,683
130,A,0,8,0,1,0,1,4,742,751,709
131,A,0,8,1,0,0,0,20,766,774,738
132,A,1,8,0,0,0,0,24,751,746,754
133,A,1,7,1,0,0,0,17,731,731,707
134,A,0,,0,0,0,0,29,741,760,667
135,A,1,,0,0,1,0,15,729,772,677
136,A,0,7,0,0,0,0,7,741,739,758
137,A,1,7,1,0,0,1,1,801,811,786
138,A,0,7,1,0,0,1,6,722,700,692
139,A,0,8,1,0,0,0,17,718,709,653
140,A,1,8,0,0,0,0,10,746,733,744
141,A,0,7,0,0,1,0,10,754,753,720
142,A,0,8,1,0,0,0,25,728,743,683
143,A,1,,0,0,0,0,11,771,772,779
144,A,1,7,1,0,0,0,13,773,717,763
145,A,1,7,1,0,0,0,29,734,767,763
146,A,1,,0,0,1,0,23,809,730,760
147,A,0,7,0,0,0,0,23,807,755,785
148,A,0,,1,1,0,1,0,727,806,652
149,A,0,8,0,0,0,1,1,723,743,747
150,A,1,7,0,1,0,0,8,785,707,812
151,A,0,,0,1,0,0,27,718,757,710
152,A,0,7,0,0,1,0,11,741,742,729
153,A,0,,0,0,0,0,24,738,750,752
154,A,0,8,0,0,1,0,17,749,773,730
155,A,0,8,0,0,0,0,14,694,751,681
156,A,1,,0,0,1,0,29,760,711,732
157,A,0,7,1,0,0,1,4,767,717,805
158,A,0,,0,1,0,0,15,743,735,694
159,A,1,7,0,1,0,0,22,714,715,726
160,A,1,7,0,0,1,0,28,788,775,737
161,A,0,7,0,0,0,0,27,761,776,723
162,A,1,8,0,0,0,1,6,733,738,728
163,A,0,,0,1,0,0,13,751,776,751
164,A,0,7,1,1,0,0,11,746,785,738
165,A,1,8,1,0,0,0,10,737,674,713
166,A,1,8,0,0,0,0,11,782,832,728
167,A,1,8,0,0,0,0,29,758,725,748
168,A,0,7,1,0,0,0,26,785,743,764
169,A,1,,1,0,1,0,26,714,772,724
170,A,0,,1,1,1,0,11,743,762,722
171,A,1,8,1,0,0,1,3,748,720,729
172,A,1,,1,0,0,1,2,754,775,741
173,A,0,,0,0,0,0,21,719,724,696
174,A,0,7,0,0,0,0,22,746,757,779
175,A,0,8,0,0,1,0,19,713,743,667
176,A,0,7,0,0,1,0,16,741,752,721
177,A,0,8,0,0,0,0,9,759,736,763
178,A,1,7,0,0,0,1,1,764,732,723
179,A,0,7,0,1,1,0,18,731,792,715
180,A,1,7,0,1,0,1,2,753,692,740
181,A,1,7,0,0,0,0,29,751,753,751
182,A,0,,1,0,0,0,14,718,731,667
183,A,1,,0,1,0,0,16,707,775,697
184,A,1,8,1,0,0,0,27,729,753,732
185,A,0,,0,0,0,0,12,737,784,776
186,A,1,,1,0,0,0,28,757,749,774
187,A,1,7,0,0,0,0,21,743,780,724
188,A,1,,1,0,1,0,7,712,739,696
189,A,0,,1,1,0,1,6,776,740,775
190,A,1,,0,0,0,0,28,812,716,747
191,A,0,,0,0,0,0,26,729,802,706
192,A,0,,1,0,0,1,2,754,730,722
193,A,0,,1,0,0,1,4,764,766,777
194,A,1,7,0,0,1,0,10,756,738,767
195,A,0,,0,1,0,0,9,771,726,764
196,A,1,8,1,0,1,0,20,712,764,688
197,A,0,,1,0,0,0,13,744,751,711
198,A,0,8,0,0,0,0,13,751,678,738
199,A,1,,0,1,1,0,16,702,775,706
200,A,1,8,0,0,0,0,13,705,790,762
201,A,0,8,1,1,0,0,20,782,726,721
202,A,0,,1,0,1,1,0,754,840,771
203,A,0,7,0,1,1,0,29,771,810,767
204,A,0,,0,0,0,0,17,748,734,725
205,A,1,8,0,0,0,0,29,751,781,695
206,A,1,7,1,0,0,0,15,757,752,749
207,A,0,8,1,0,0,1,1,792,757,717
208,A,1,,0,0,0,0,29,709,782,699
209,A,0,8,0,0,0,1,3,766,724,769
210,A,0,7,1,1,0,0,19,706,766,708
211,A,1,,1,0,0,0,23,748,772,735
212,A,0,7,0,0,0,0,23,711,717,682
213,A,1,7,0,0,0,1,3,700,752,680
214,A,0,8,0,0,0,0,29,701,779,694
215,A,1,7,1,0,1,0,16,782,751,795
216,A,0,,1,0,1,0,15,798,777,752
217,A,0,7,0,0,0,0,13,783,713,685
218,A,1,,0,1,0,1,0,772,792,788
219,A,0,,0,1,0,0,22,768,731,759
220,A,1,7,1,0,0,0,23,688,705,650
221,A,1,7,1,0,0,1,5,690,705,721
222,A,1,8,0,0,0,0,21,751,718,729
223,A,1,,0,1,0,0,16,697,796,679
224,A,0,7,0,0,0,1,3,766,701,780
225,A,0,7,0,0,0,1,0,772,732,731
226,A,1,7,1,0,1,1,4,654,778,694
227,A,0,,1,1,0,0,27,763,747,802
228,A,1,8,0,0,0,0,25,714,749,750
229,A,0,7,0,0,0,0,8,748,765,705
230,A,1,8,0,0,1,0,25,741,787,731
231,A,1,7,1,1,0,0,29,786,755,726
232,A,0,8,0,0,0,1,2,681,758,712
233,A,0,,1,0,0,0,20,662,783,650
234,A,0,8,0,0,0,0,13,760,735,714
235,A,0,8,0,0,0,0,11,736,710,675
236,A,1,7,1,0,1,0,11,775,740,816
237,A,0,8,0,0,1,0,16,736,772,743
238,A,0,,0,1,0,0,25,778,719,736
239,A,0,8,0,0,0,0,16,724,758,736
240,A,0,,1,0,0,0,12,819,847,838
241,A,0,,1,0,0,0,13,762,768,756
242,A,1,7,1,0,0,0,12,710,723,677
243,A,0,,1,0,1,1,3,700,735,667
244,A,0,8,0,1,0,1,6,767,731,730
245,A,0,,0,1,0,0,13,744,770,727
246,A,1,8,0,0,0,0,9,789,747,738
247,A,1,,1,0,0,1,6,742,740,709
248,A,1,8,1,0,0,0,8,729,694,652
249,A,0,7,1,1,0,1,3,790,832,778
250,A,0,,0,0,1,0,13,715,805,731
251,A,0,8,0,0,0,0,11,679,783,655
252,A,0,,0,0,1,0,14,760,745,690
253,A,1,7,0,0,0,0,17,732,755,716
254,A,1,,0,0,0,0,10,818,734,775
255,A,0,7,0,0,1,0,7,710,740,677
256,A,0,7,1,0,0,0,27,791,764,787
257,A,1,7,0,0,0,1,3,787,749,777
258,A,0,7,1,1,0,0,28,731,771,704
259,A,1,8,1,1,0,0,18,718,716,715
260,A,0,8,0,0,0,0,13,754,772,730
261,A,0,8,1,0,0,1,4,735,755,733
262,A,0,7,1,1,1,0,27,723,732,710
263,A,1,,0,0,0,0,12,742,688,704
264,A,1,,1,0,0,0,12,756,739,751
265,A,1,7,0,0,0,0,13,792,829,806
266,A,1,,0,0,1,0,9,747,762,728
267,A,0,8,0,1,0,0,9,763,739,793
268,A,1,8,0,1,1,0,16,774,716,702
269,A,0,8,0,0,0,0,10,785,779,733
270,A,1,8,0,0,0,1,0,725,752,747
271,A,0,8,1,0,0,1,5,736,779,704
272,A,0,7,1,1,0,0,18,758,719,719
273,A,0,,1,0,0,1,1,732,734,700
274,A,0,,0,0,1,0,18,767,794,760
275,A,1,8,0,1,0,1,3,782,754,788
276,A,0,,1,0,1,0,24,740,786,719
277,A,1,,0,1,0,0,18,723,746,686
278,A,0,,1,0,0,0,15,769,753,722
279,A,0,7,0,0,0,0,25,795,753,779
280,A,1,8,0,1,0,0,18,731,766,711
281,A,1,7,1,0,0,0,17,766,806,692
282,A,1,8,0,1,0,0,21,737,723,705
283,A,0,7,0,1,0,1,0,720,813,718
284,A,0,,1,0,0,0,24,692,771,748
285,A,1,,0,1,0,1,1,797,726,729
286,A,1,,1,0,1,0,15,790,751,709
287,A,1,,0,0,1,0,24,740,734,726
288,A,1,8,1,0,1,0,24,713,781,753
289,A,0,7,0,0,0,0,15,779,771,770
290,A,1,,0,0,0,0,23,677,765,658
291,A,0,7,1,0,0,0,25,758,721,735
292,A,1,7,0,0,0,0,19,783,786,763
293,A,0,,0,0,0,0,17,751,742,722
294,A,0,7,1,0,0,0,22,724,771,706
295,A,0,7,0,0,0,0,27,799,735,750
296,A,0,8,1,0,0,0,25,747,755,712
297,A,1,,0,0,1,1,6,772,737,718
298,A,1,7,0,0,0,0,27,716,734,688
299,A,1,7,1,0,0,1,5,784,713,736
300,A,0,,0,0,0,0,20,739,694,675
301,A,1,8,0,0,0,1,4,684,751,654
302,A,1,,0,0,0,0,16,758,784,728
303,A,0,,1,0,0,0,13,713,786,725
304,A,0,7,0,0,0,0,17,668,739,685
305,A,1,7,0,0,0,0,20,699,766,699
306,A,0,7,1,0,0,1,2,720,734,672
307,A,0,8,0,1,1,0,23,761,726,719
308,A,0,8,1,0,0,0,17,746,761,737
309,A,1,7,0,0,0,1,5,721,792,661
310,A,1,,1,1,0,1,4,720,735,700
311,A,1,8,0,0,0,0,15,782,775,780
312,A,1,8,0,0,0,0,24,727,719,729
313,A,1,,0,1,0,0,17,779,724,739
314,A,1,7,1,1,0,0,26,715,749,704
315,A,1,8,0,0,0,0,12,754,758,742
316,A,0,,0,1,0,1,1,748,716,729
317,A,1,8,1,0,0,0,13,754,808,724
318,A,1,7,1,1,1,0,24,784,704,765
319,A,0,7,1,0,0,0,11,749,751,748
320,A,1,7,0,0,0,1,4,795,744,778
321,A,0,,1,1,0,0,14,686,786,696
322,A,0,,0,0,0,0,25,713,749,650
323,A,1,7,0,0,0,0,14,850,744,808
324,A,0,,0,0,0,0,15,747,694,707
325,A,1,8,0,1,0,0,24,730,742,737
326,A,0,7,1,0,0,0,19,712,711,650
327,A,0,8,0,0,1,0,11,694,760,694
328,A,1,8,1,0,0,0,7,780,772,788
329,A,0,,0,0,0,0,11,768,710,782
330,A,1,7,1,1,0,1,2,740,824,763
331,A,1,8,1,0,0,0,27,741,783,687
332,A,0,7,1,0,0,0,11,767,742,752
333,A,1,,1,0,0,1,3,783,769,751
334,A,1,7,1,1,0,0,23,726,741,751
335,A,1,,0,1,0,1,1,792,728,782
336,A,0,8,0,0,0,0,29,766,781,737
337,A,1,7,0,1,0,0,11,721,753,687
338,A,0,7,0,1,0,0,20,712,735,711
339,A,1,7,1,0,0,0,28,678,788,650
340,A,0,7,1,1,0,0,13,725,771,710
341,A,1,,0,0,1,0,22,755,777,712
342,A,1,,0,0,0,0,16,735,740,725
343,A,0,,1,0,0,0,16,716,754,688
344,A,0,7,0,1,0,0,28,813,777,811
345,A,1,7,0,1,0,1,3,800,741,800
346,A,1,,0,0,1,1,5,767,716,773
347,A,0,7,0,0,0,1,6,772,737,743
348,A,1,,0,0,0,0,15,732,731,706
349,A,1,7,0,0,0,1,3,757,761,715
350,A,0,7,0,0,0,0,25,730,726,701
351,A,1,,1,0,0,1,1,714,788,697
352,A,1,7,0,0,0,1,0,727,738,684
353,A,1,7,0,0,0,0,23,749,725,707
354,A,0,7,1,0,0,0,23,755,726,774
355,A,0,8,1,0,0,0,15,742,711,723
356,A,0,7,0,1,0,0,29,771,785,709
357,A,0,8,0,0,1,0,25,741,717,747
358,A,1,8,0,0,0,0,14,760,781,730
359,A,0,,0,0,0,0,14,739,773,722
360,A,0,8,0,0,0,0,18,793,726,712
361,A,0,7,0,0,0,0,29,738,719,712
362,A,1,7,1,0,0,0,22,791,727,771
363,A,1,8,0,0,0,0,12,792,746,752
364,A,1,,0,0,1,0,13,762,768,726
365,A,0,,0,1,0,0,26,750,728,739
366,A,1,7,1,1,0,0,10,700,726,685
367,A,0,7,0,0,0,1,4,764,713,728
368,A,1,,0,0,0,1,6,789,757,808
369,A,0,,0,1,1,0,19,700,741,685
370,A,1,,1,1,0,0,12,744,753,736
371,A,0,7,0,0,0,0,23,816,790,813
372,A,1,7,1,0,0,0,25,791,779,738
373,A,0,,0,0,1,0,20,744,805,737
374,A,1,,1,0,0,1,0,767,772,741
375,A,1,,0,0,0,1,6,749,770,733
376,A,1,,0,0,0,0,26,740,755,743
377,A,0,7,0,1,0,0,7,772,754,715
378,A,0,7,1,0,0,1,2,728,745,691
379,A,1,7,0,0,1,0,25,727,789,716
380,A,1,,1,0,0,0,24,727,704,706
381,A,0,7,0,0,0,0,16,750,756,693
382,A,0,,0,0,0,0,26,809,789,757
383,A,0,8,0,0,0,0,26,771,754,767
384,A,0,7,1,0,0,0,9,748,716,709
385,A,1,,0,1,1,1,2,710,741,691
386,A,0,8,0,1,0,0,28,703,729,665
387,A,0,7,1,1,0,1,1,742,765,771
388,A,0,,1,0,0,1,4,699,710,669
389,A,1,,1,0,0,0,28,743,791,684
390,A,1,,0,0,0,1,3,739,796,738
391,A,0,7,1,0,0,1,0,753,753,703
392,A,1,8,0,0,0,1,1,761,806,720
393,A,1,8,0,0,0,0,15,737,786,686
394,A,0,8,0,0,0,0,24,751,770,750
395,A,1,7,0,0,0,0,27,809,734,758
396,A,0,7,1,0,1,0,25,719,738,678
397,A,0,7,0,0,0,0,22,712,791,674
398,A,1,7,1,0,0,1,4,725,784,702
399,A,1,,1,0,0,0,9,718,745,719
400,A,1,7,0,0,0,0,12,704,731,685
401,A,1,,0,1,0,0,29,810,754,749
402,A,1,8,0,1,0,0,7,741,714,705
403,A,0,,0,0,0,0,13,739,728,701
404,A,0,7,1,0,0,0,17,744,754,723
405,A,0,,1,1,0,0,9,754,806,772
406,A,1,8,1,1,0,1,0,740,752,781
407,A,1,8,1,1,0,0,16,692,782,670
408,A,0,8,0,1,0,0,10,734,760,699
409,A,1,,0,0,0,0,12,743,792,748
410,A,1,7,0,0,0,0,18,755,706,724
411,A,1,8,1,0,1,1,5,750,702,732
412,A,1,8,0,0,0,0,9,780,785,782
413,A,1,8,0,0,0,0,21,772,758,771
414,A,0,7,0,1,1,1,5,728,746,719
415,A,0,,0,0,0,1,4,801,810,789
416,A,0,8,1,0,0,0,8,785,735,746
417,A,1,7,0,0,0,0,15,759,730,770
418,A,0,7,1,0,0,0,16,798,721,760
419,A,0,,0,0,1,0,16,768,695,751
420,A,0,7,0,0,0,1,1,733,750,688
421,A,0,,0,0,1,1,4,775,772,776
422,A,1,7,0,0,0,0,16,696,768,660
423,A,0,,0,1,0,0,18,773,791,759
424,A,1,7,1,0,0,1,2,751,713,744
425,A,0,,0,0,0,1,4,753,678,741
426,A,1,,0,1,0,0,25,725,732,681
427,A,0,7,1,0,1,1,6,737,794,763
428,A,1,7,1,0,0,0,13,696,763,682
429,A,0,7,0,0,1,1,1,760,765,771
430,A,1,,0,0,0,0,7,752,806,726
431,A,1,,1,0,0,0,21,742,695,722
432,A,1,7,1,0,0,1,0,739,731,772
433,A,1,,0,0,0,0,21,719,775,703
434,A,1,7,0,0,0,0,26,703,748,665
435,A,1,,0,1,0,1,5,751,749,690
436,A,0,8,1,0,0,0,14,741,716,708
437,A,1,,0,1,0,0,21,713,771,698
438,A,1,7,0,0,1,0,11,799,792,792
439,A,1,8,0,0,0,0,12,759,707,757
440,A,0,,0,1,0,0,16,699,749,720
441,A,1,,1,0,0,0,15,765,762,744
442,A,1,,1,1,1,0,12,786,782,765
443,A,1,,0,0,0,0,16,793,748,751
444,A,0,,0,0,0,0,25,739,743,719
445,A,1,,0,0,1,1,2,731,765,749
446,A,0,7,1,0,0,0,9,756,750,759
447,A,1,,0,0,0,0,18,735,778,683
448,A,0,7,1,0,0,0,11,722,732,721
449,A,0,8,0,0,0,1,6,753,736,724
450,A,0,,0,1,0,0,21,689,827,683
451,A,1,,1,0,1,0,13,784,724,750
452,A,0,,1,0,1,1,5,808,718,740
453,A,1,,1,1,0,0,10,740,774,740
454,A,0,8,1,1,0,0,27,754,769,765
455,A,1,,1,0,1,0,26,739,720,700
456,A,0,8,0,0,0,1,2,790,773,772
457,A,1,7,0,0,0,0,21,740,770,719
458,A,1,7,0,0,0,0,11,718,745,736
459,A,1,,0,0,0,0,9,732,804,741
460,A,0,8,0,0,0,0,25,761,812,763
461,A,0,7,1,0,0,1,6,766,763,790
462,A,0,7,0,0,1,0,9,748,748,773
463,A,1,8,1,0,1,0,18,784,790,766
464,A,0,7,1,1,0,0,16,761,726,683
465,A,1,,1,0,0,1,0,767,763,774
466,A,0,,0,0,0,1,4,743,742,755
467,A,0,8,0,0,1,0,19,791,755,744
468,A,1,,1,0,0,0,23,774,745,746
469,A,0,7,1,1,0,0,26,764,677,709
470,A,1,,1,1,0,1,5,727,750,679
471,A,0,,1,1,1,0,24,792,793,749
472,A,1,7,1,1,0,0,13,757,761,762
473,A,1,7,1,0,0,0,7,794,789,749
474,A,1,,0,0,0,1,4,809,691,800
475,A,1,,0,0,0,0,28,714,810,677
476,A,0,8,0,1,0,1,0,734,757,680
477,A,1,,0,0,1,0,22,766,754,708
478,A,0,,1,0,0,0,16,754,774,768
479,A,0,8,1,0,0,0,15,743,749,705
480,A,0,8,0,0,0,0,26,730,762,750
481,A,1,7,0,0,1,0,13,781,772,772
482,A,0,,0,0,0,0,14,776,773,741
483,A,1,8,0,0,0,0,11,722,748,677
484,A,0,8,1,1,0,1,5,719,761,704
485,A,1,,0,1,0,1,4,699,791,675
486,A,1,8,0,0,0,1,5,817,734,739
487,A,1,,0,0,0,0,17,728,675,698
488,A,1,,1,1,0,0,14,746,726,729
489,A,0,8,0,0,0,0,18,742,766,758
490,A,1,7,0,0,0,0,25,721,736,693
491,A,0,,0,1,0,0,14,784,703,751
492,A,1,,1,1,0,0,24,739,698,729
493,A,0,,0,1,0,0,29,751,780,705
494,A,0,8,0,0,1,0,14,789,725,743
495,A,1,7,0,0,1,0,28,730,733,703
496,A,1,,1,0,0,1,4,750,731,754
497,A,1,8,0,1,0,0,14,718,744,702
498,A,1,7,0,0,0,0,10,741,781,701
499,A,0,7,0,0,0,0,23,772,760,744
500,A,1,7,1,0,0,0,20,720,779,684
501,A,1,8,0,1,0,0,26,774,752,744
502,A,1,8,0,0,0,0,9,753,719,685
503,A,1,,1,0,0,0,11,737,762,686
504,A,1,,1,0,1,0,10,784,749,790
505,A,1,7,0,0,0,0,20,746,703,703
506,A,0,,1,1,0,0,25,764,752,761
507,A,0,,0,0,0,0,12,774,704,684
508,A,0,8,1,1,0,0,20,690,795,699
509,A,0,8,0,0,0,0,13,740,750,754
510,A,0,7,0,0,0,0,24,826,776,815
511,A,0,8,1,0,1,1,0,720,774,734
512,A,1,8,1,1,0,0,16,733,731,713
513,A,0,,0,1,0,0,28,800,707,742
514,A,1,8,0,0,0,1,6,770,758,721
515,A,1,,1,0,0,0,8,731,792,650
516,A,0,,1,0,0,0,8,756,775,708
517,A,1,7,1,0,1,1,2,785,753,770
518,A,0,,0,0,0,0,7,715,735,683
519,A,1,8,1,0,0,0,18,709,765,705
520,A,1,,0,1,0,0,15,748,823,772
521,A,1,7,1,1,0,0,7,758,726,739
522,A,1,8,1,0,0,1,2,762,738,746
523,A,0,8,1,0,0,0,13,802,754,760
524,A,1,7,0,0,1,0,18,722,772,664
525,A,0,8,0,0,0,0,16,795,776,772
526,A,0,7,0,0,0,0,8,747,744,686
527,A,0,,1,1,0,1,2,730,755,738
528,A,0,8,1,0,0,0,29,759,755,735
529,A,0,8,1,0,0,0,10,772,734,759
530,A,1,8,0,1,0,0,24,728,686,677
531,A,0,8,0,0,0,0,29,760,762,714
532,A,1,,0,0,0,0,11,738,780,724
533,A,1,,1,0,0,0,15,795,770,813
534,A,0,,1,0,0,0,21,723,692,699
535,A,1,,0,0,0,0,12,782,768,745
536,A,1,,0,1,0,0,27,751,740,723
537,A,1,8,1,0,1,0,25,759,758,712
538,A,1,7,1,0,0,0,17,709,725,660
539,A,0,,0,0,0,0,27,758,768,728
540,A,1,,0,0,0,1,4,764,712,713
541,A,1,,0,0,0,0,10,744,751,657
542,A,1,7,0,0,0,0,12,737,733,705
543,A,0,7,1,0,0,0,20,807,781,772
544,A,1,7,0,0,0,1,4,744,729,668
545,A,1,8,0,0,1,1,3,736,750,712
546,A,0,,0,0,0,0,20,821,742,795
547,A,1,8,0,0,1,0,23,759,759,696
548,A,1,7,0,0,1,0,27,773,735,751
549,A,0,,0,0,0,0,25,722,758,732
550,A,1,8,1,0,1,1,3,738,690,759
551,A,1,8,0,0,0,0,16,802,804,760
552,A,1,,1,0,0,0,22,728,747,722
553,A,0,8,1,0,1,0,7,717,724,709
554,A,1,7,1,0,0,0,22,761,769,725
555,A,1,7,1,0,0,0,10,752,720,718
556,A,1,8,0,0,0,0,26,705,772,677
557,A,0,,0,0,1,0,11,754,760,730
558,A,0,8,1,0,1,0,13,762,717,733
559,A,1,8,1,0,0,1,4,735,774,765
560,A,0,8,1,0,0,0,22,722,785,707
561,A,1,7,0,1,0,0,27,764,736,691
562,A,0,,0,0,0,1,0,746,725,746
563,A,0,7,1,0,0,1,0,741,761,737
564,A,0,8,0,0,0,0,19,749,737,753
565,A,0,,0,0,0,0,23,754,732,723
566,A,1,,0,1,0,0,12,697,750,654
567,A,0,8,0,0,1,0,25,734,744,700
568,A,0,,0,1,1,0,12,767,792,729
569,A,0,7,0,0,0,1,6,747,750,730
570,A,1,7,0,0,0,0,15,742,786,715
571,A,1,,1,0,0,0,22,751,714,702
572,A,1,8,0,0,0,0,28,728,710,658
573,A,0,7,0,0,0,0,16,673,792,704
574,A,0,7,0,0,0,0,14,764,737,765
575,A,0,8,1,0,0,0,26,754,788,696
576,A,1,8,0,0,0,1,6,742,746,763
577,A,0,8,0,0,0,0,17,760,741,754
578,A,1,,0,0,1,0,11,714,760,706
579,A,1,8,1,1,0,0,9,728,747,658
580,A,1,,0,0,1,0,11,771,731,711
581,A,1,7,0,0,0,1,6,706,732,682
582,A,0,8,1,0,1,1,3,745,753,746
583,A,1,7,0,0,0,1,4,723,817,705
584,A,0,,0,0,0,0,14,737,729,729
585,A,0,8,0,1,0,0,28,799,732,814
586,A,0,8,0,1,0,0,29,747,781,707
587,A,1,8,1,0,0,0,20,765,739,726
